Juviniles, Adults, Seniles, Total
128,27,64,219
54,26,27,107
52,11,26,89
22,52,11,85
104,22,52,178
44,104,22,170
208,44,104,356
88,250,44,382
500,106,250,856
212,100,106,418
200,42,100,342
84,40,42,166
80,17,40,137
34,16,17,67
32,34,16,82
68,32,34,134
64,68,32,164
136,64,68,268
128,27,64,219
54,26,27,107
52,11,26,89
22,52,11,85
104,22,52,178
44,104,22,170
208,44,104,356
88,42,44,174
84,18,42,144
36,17,18,71
34,36,17,87
72,34,36,142
68,72,34,174
144,68,72,284
136,173,68,377
346,27,173,546
54,69,27,150
138,11,69,218
22,166,11,199
332,26,166,524
52,66,26,144
132,62,66,260
124,158,62,344
316,25,158,499
50,379,25,454
758,10,379,1147
20,152,10,182
304,4,152,460
8,61,4,73
122,8,61,191
16,122,8,146
244,16,122,382
32,49,16,97
98,32,49,179
64,98,32,194
196,64,98,358
128,39,64,231
78,26,39,143
52,94,26,172
188,10,94,292
20,38,10,68
76,20,38,134
40,76,20,136
152,40,76,268
80,30,40,150
60,16,30,106
32,12,16,60
24,32,12,68
64,24,32,120
48,64,24,136
128,48,64,240
96,26,48,170
52,19,26,97
38,52,19,109
104,38,52,194
76,104,38,218
208,15,104,327
30,42,15,87
84,30,42,156
60,84,30,174
168,60,84,312
120,202,60,382
404,24,202,630
48,81,24,153
162,10,81,253
20,194,10,224
388,4,194,586
8,78,4,90
156,8,78,242
16,31,8,55
62,16,31,109
32,62,16,110
124,32,62,218
64,25,32,121
50,77,25,152
154,10,77,241
20,31,10,61
62,20,31,113
40,62,20,122
124,40,62,226
80,25,40,145
50,96,25,171
192,60,96,348
120,230,60,410
460,144,230,834
288,92,144,524
184,58,92,334
116,37,58,211
74,139,37,250
278,15,139,432
30,56,15,101
112,6,56,174
12,22,6,40
44,12,22,78
24,44,12,80
88,24,44,156
48,88,24,160
176,48,88,312
96,35,48,179
70,19,35,124
38,84,19,141
168,8,84,260
16,34,8,58
68,16,34,118
32,68,16,116
136,32,68,236
64,27,32,123
54,77,27,158
154,11,77,242
22,185,11,218
370,4,185,559
8,74,4,86
148,8,74,230
16,178,8,202
356,3,178,537
6,71,3,80
142,6,71,219
12,28,6,46
56,12,28,96
24,56,12,92
112,24,56,192
48,112,24,184
224,48,112,384
96,45,48,189
90,19,45,154
38,18,19,75
36,38,18,92
76,36,38,150
72,76,36,184
152,72,76,300
144,30,72,246
60,173,30,263
346,12,173,531
24,415,12,451
830,5,415,1250
10,166,5,181
332,12,166,510
24,398,12,434
796,5,398,1199
10,159,5,174
318,2,159,479
4,64,2,70
128,4,64,196
8,128,4,140
256,8,128,392
16,51,8,75
102,16,51,169
32,102,16,150
204,32,102,338
64,41,32,137
82,13,41,136
26,16,13,55
32,26,16,74
52,32,26,110
64,52,32,148
104,64,52,220
128,21,64,213
42,26,21,89
52,42,26,120
84,52,42,178
104,84,52,240
168,21,84,273
42,34,21,97
68,42,34,144
84,68,42,194
136,84,68,288
168,27,84,279
54,34,27,115
68,11,34,113
22,14,11,47
28,22,14,64
44,28,22,94
56,44,28,128
88,56,44,188
112,88,56,256
176,22,88,286
44,35,22,101
70,53,35,158
106,14,53,173
28,127,14,169
254,34,127,415
68,51,34,153
102,14,51,167
28,20,14,62
40,28,20,88
56,40,28,124
80,56,40,176
112,80,56,248
160,22,80,262
44,192,22,258
384,9,192,585
18,77,9,104
154,4,77,235
8,31,4,43
62,8,31,101
16,62,8,86
124,16,62,202
32,25,16,73
50,32,25,107
64,50,32,146
100,64,50,214
128,20,64,212
40,26,20,86
52,40,26,118
80,52,40,172
104,80,52,236
160,21,80,261
42,32,21,95
64,42,32,138
84,64,42,190
128,84,64,276
168,26,84,278
52,202,26,280
404,10,202,616
20,81,10,111
162,4,81,247
8,32,4,44
64,8,32,104
16,64,8,88
128,16,64,208
32,26,16,74
52,32,26,110
64,52,32,148
104,64,52,220
128,21,64,213
42,26,21,89
52,42,26,120
84,52,42,178
104,84,52,240
168,21,84,273
42,34,21,97
68,42,34,144
84,68,42,194
136,84,68,288
168,27,84,279
54,34,27,115
68,11,34,113
22,14,11,47
28,22,14,64
44,28,22,94
56,44,28,128
88,56,44,188
112,88,56,256
176,134,88,398
268,211,134,613
422,322,211,955
644,506,322,1472
1012,773,506,2291
1546,202,773,2521
404,1855,202,2461
3710,81,1855,5646
162,742,81,985
1484,32,742,2258
64,297,32,393
594,77,297,968
154,119,77,350
238,31,119,388
62,48,31,141
96,12,48,156
24,115,12,151
230,5,115,350
10,46,5,61
92,10,46,148
20,92,10,122
184,20,92,296
40,221,20,281
442,8,221,671
16,88,8,112
176,3,88,267
6,35,3,44
70,6,35,111
12,70,6,88
140,12,70,222
24,28,12,64
56,24,28,108
48,56,24,128
112,48,56,216
96,22,48,166
44,19,22,85
38,44,19,101
88,38,44,170
76,88,38,202
176,91,88,355
182,35,91,308
70,36,35,141
72,14,36,122
28,14,14,56
28,28,14,70
56,28,28,112
56,56,28,140
112,56,56,224
112,134,56,302
268,134,134,536
268,54,134,456
108,54,54,216
108,22,54,184
44,22,22,88
44,44,22,110
88,44,44,176
88,88,44,220
176,106,88,370
212,35,106,353
70,42,35,147
84,14,42,140
28,17,14,59
34,28,17,79
56,34,28,118
68,56,34,158
112,68,56,236
136,22,68,226
44,27,22,93
54,44,27,125
88,54,44,186
108,88,54,250
176,22,88,286
44,35,22,101
70,9,35,114
18,14,9,41
28,18,14,60
36,28,18,82
56,36,28,120
72,56,36,164
112,72,56,240
144,134,72,350
268,29,134,431
58,54,29,141
108,12,54,174
24,22,12,58
44,24,22,90
48,44,24,116
88,48,44,180
96,88,48,232
176,19,88,283
38,211,19,268
422,8,211,641
16,84,8,108
168,3,84,255
6,34,3,43
68,6,34,108
12,68,6,86
136,12,68,216
24,27,12,63
54,24,27,105
48,54,24,126
108,48,54,210
96,22,48,166
44,19,22,85
38,44,19,101
88,38,44,170
76,88,38,202
176,15,88,279
30,35,15,80
70,30,35,135
60,70,30,160
140,60,70,270
120,28,60,208
56,24,28,108
48,11,24,83
22,48,11,81
96,22,48,166
44,96,22,162
192,44,96,332
88,38,44,170
76,18,38,132
36,15,18,69
30,36,15,81
72,30,36,138
60,72,30,162
144,60,72,276
120,29,60,209
58,144,29,231
288,70,144,502
140,58,70,268
116,168,58,342
336,23,168,527
46,403,23,472
806,9,403,1218
18,161,9,188
322,4,161,487
8,64,4,76
128,8,64,200
16,26,8,50
52,16,26,94
32,52,16,100
104,32,52,188
64,104,32,200
208,77,104,389
154,42,77,273
84,185,42,311
370,101,185,656
202,74,101,377
148,40,74,262
80,30,40,150
60,96,30,186
192,12,96,300
24,230,12,266
460,5,230,695
10,92,5,107
184,2,92,278
4,37,2,43
74,4,37,115
8,74,4,86
148,8,74,230
16,30,8,54
60,16,30,106
32,60,16,108
120,32,60,212
64,144,32,240
288,13,144,445
