Juviniles, Adults, Seniles, Total
223267539076692580,113381127743901834,111633769538346290,448282436358940704
226762255487803668,111633769538346290,113381127743901834,451777152770051792
223267539076692580,158733578841462568,111633769538346290,493634887456501438
317467157682925136,156287277353684806,158733578841462568,632488013878072510
312574554707369612,158733578841462568,156287277353684806,627595410902516986
317467157682925136,156287277353684806,158733578841462568,632488013878072510
312574554707369612,222227010378047595,156287277353684806,691088842439102013
444454020756095190,218802188295158728,222227010378047595,885483219429301513
437604376590317456,222227010378047595,218802188295158728,878633575263523779
444454020756095190,262562625954190474,222227010378047595,929243657088333259
525125251908380948,355563216604876152,262562625954190474,1143251094467447574
711126433209752304,315075151145028569,355563216604876152,1381764800959657025
630150302290057138,568901146567801843,315075151145028569,1514126600002887550
1137802293135603686,441105211603039997,568901146567801843,2147808651306445526
882210423206079994,568901146567801843,441105211603039997,1892216781376921834
1137802293135603686,441105211603039997,568901146567801843,2147808651306445526
882210423206079994,910241834508482949,441105211603039997,2233557469317602940
1820483669016965898,617547296244255996,910241834508482949,3348272799769704843
1235094592488511992,1274338568311876129,617547296244255996,3126980457044644117
2548677136623752258,988075673990809594,1274338568311876129,4811091378926437981
1976151347981619188,2038941709299001806,988075673990809594,5003168731271430588
4077883418598003612,1580921078385295350,2038941709299001806,7697746206282300768
3161842156770590700,2038941709299001806,1580921078385295350,6781704944454887856
4077883418598003612,1580921078385295350,2038941709299001806,7697746206282300768
3161842156770590700,3262306734878402890,1580921078385295350,8005069970034288940
6524613469756805780,2529473725416472560,3262306734878402890,12316393930051681230
5058947450832945120,5219690775805444624,2529473725416472560,12808111952054862304
10439381551610889248,4047157960666356096,5219690775805444624,19706230288082689968
8094315921332712192,7307567086127622474,4047157960666356096,19449040968126690762
14615134172255244948,5666021144932898534,7307567086127622474,27588722403315765956
11332042289865797068,10230593920578671464,5666021144932898534,27228657355377367066
20461187841157342928,5666021144932898534,10230593920578671464,36357802906668912926
11332042289865797068,10230593920578671464,5666021144932898534,27228657355377367066
20461187841157342928,7932429602906057948,10230593920578671464,38624211364642072340
15864859205812115896,10230593920578671464,7932429602906057948,34027882729296845308
20461187841157342928,9518915523487269538,10230593920578671464,40210697285223283930
19037831046974539076,14322831488810140050,9518915523487269538,42879578059271948664
28645662977620280100,11422698628184723446,14322831488810140050,54391193094615143596
22845397256369446892,17187397786572168060,11422698628184723446,51455493671126338398
34374795573144336120,18276317805095557514,17187397786572168060,69838511164812061694
36552635610191115028,17187397786572168060,18276317805095557514,72016351201858840602
34374795573144336120,29242108488152892022,17187397786572168060,80804301847869396202
58484216976305784044,27499836458515468896,29242108488152892022,115226161922974144962
54999672917030937792,40938951883414048831,27499836458515468896,123438461258960455519
81877903766828097662,43999738333624750234,40938951883414048831,166816593983866896727
87999476667249500468,65502323013462478130,43999738333624750234,197501538014336728832
131004646026924956260,70399581333799600374,65502323013462478130,266906550374187034764
140799162667599200748,78602787616154973756,70399581333799600374,289801531617553774878
157205575232309947512,112639330134079360598,78602787616154973756,348447692982544281866
225278660268158721196,125764460185847958010,112639330134079360598,463682450588086039804
251528920371695916020,135167196160895232718,125764460185847958010,512460576718439106748
270334392321790465436,125764460185847958010,135167196160895232718,531266048668533656164
251528920371695916020,162200635393074279262,125764460185847958010,539494015950618153292
324401270786148558524,176070244260187141214,162200635393074279262,662672150439409979000
352140488520374282428,162200635393074279262,176070244260187141214,690411368173635702904
324401270786148558524,176070244260187141214,162200635393074279262,662672150439409979000
352140488520374282428,162200635393074279262,176070244260187141214,690411368173635702904
324401270786148558524,176070244260187141214,162200635393074279262,662672150439409979000
352140488520374282428,194640762471689135114,176070244260187141214,722851495252250558756
389281524943378270228,176070244260187141214,194640762471689135114,759992531675254546556
352140488520374282428,233568914966026962137,176070244260187141214,761779647746588385779
467137829932053924274,176070244260187141214,233568914966026962137,876776989158268027625
352140488520374282428,373710263945643139419,176070244260187141214,901920996726204563061
747420527891286278838,246498341964261997700,373710263945643139419,1367629133801191415957
492996683928523995400,597936422313029023070,246498341964261997700,1337431448205815016170
1195872844626058046140,394397347142819196320,597936422313029023070,2188206614081906265530
788794694285638392640,597936422313029023070,394397347142819196320,1781128463741486612030
1195872844626058046140,394397347142819196320,597936422313029023070,2188206614081906265530
788794694285638392640,717523706775634827684,394397347142819196320,1900715748204092416644
1435047413551269655368,552156285999946874848,717523706775634827684,2704727406326851357900
1104312571999893749696,861028448130761793221,552156285999946874848,2517497306130602417765
1722056896261523586442,883450057599914999757,861028448130761793221,3466535401992200379420
1766900115199829999514,861028448130761793221,883450057599914999757,3511378620930506792492
1722056896261523586442,883450057599914999757,861028448130761793221,3466535401992200379420
1766900115199829999514,1205439827383066510509,883450057599914999757,3855790000182811509780
2410879654766133021018,1060140069119897999708,1205439827383066510509,4676459551269097531235
2120280138239795999416,1687615758336293114713,1060140069119897999708,4868035965695987113837
3375231516672586229426,1060140069119897999708,1687615758336293114713,6122987344128777343847
2120280138239795999416,1687615758336293114713,1060140069119897999708,4868035965695987113837
