Juviniles, Adults, Seniles, Total
44065646110933851444,264302297059361872315,22032823055466925722,330400766225762649481
528604594118723744630,26439387666560310866,264302297059361872315,819346278844645927811
52878775333120621732,370023215883106621241,26439387666560310866,449341378882787553839
740046431766213242482,37015142733184435212,370023215883106621241,1147084790382504298935
74030285466368870424,444027859059727945489,37015142733184435212,555073287259281251125
888055718119455890978,51821199826458209297,444027859059727945489,1383904777005642045764
103642399652916418594,621639002683619123685,51821199826458209297,777102602162993751576
1243278005367238247370,72549679757041493016,621639002683619123685,1937466687807898864071
145099359514082986032,870294603757066773159,72549679757041493016,1087943643028191252207
1740589207514133546318,116079487611266388826,870294603757066773159,2726963298882466708303
232158975222532777652,1392471366011306837054,116079487611266388826,1740709828845106003532
2784942732022613674108,185727180178026222122,1392471366011306837054,4363141278211946733284
371454360356052444244,2227954185618090939286,185727180178026222122,2785135726152169605652
4455908371236181878572,222872616213631466546,2227954185618090939286,6906735173067904284404
445745232427262933092,2227954185618090939286,222872616213631466546,2896572034258985338924
4455908371236181878572,356596185941810346474,2227954185618090939286,7040458742796083164332
713192371883620692948,3564726696988945502858,356596185941810346474,4634515254814376542280
7129453393977891005716,499234660318534485064,3564726696988945502858,11193414751285370993638
998469320637068970128,3564726696988945502858,499234660318534485064,5062430677944548958050
7129453393977891005716,698928524445948279090,3564726696988945502858,11393108615412784787664
1397857048891896558180,5703562715182312804573,698928524445948279090,7800348288520157641843
11407125430364625609146,698928524445948279090,5703562715182312804573,17809616669992886692809
1397857048891896558180,7984987801255237926402,698928524445948279090,10081773374593082763672
15969975602510475852804,698928524445948279090,7984987801255237926402,24653891928211662058296
1397857048891896558180,11178982921757333096963,698928524445948279090,13275768495095177934233
22357965843514666193926,978499934224327590726,11178982921757333096963,34515448699496326881615
1956999868448655181452,11178982921757333096963,978499934224327590726,14114482724430315869141
22357965843514666193926,1174199921069193108871,11178982921757333096963,34711148686341192399760
2348399842138386217742,17886372674811732955141,1174199921069193108871,21408972438019312281754
35772745349623465910282,1409039905283031730645,17886372674811732955141,55068157929718230596068
2818079810566063461290,21463647209774079546169,1409039905283031730645,25690766925623174738104
42927294419548159092338,2254463848452850769032,21463647209774079546169,66645405477775089407539
4508927696905701538064,25756376651728895455403,2254463848452850769032,32519768197087447762499
51512753303457790910806,3607142157524561230451,25756376651728895455403,80876272112711247596660
7214284315049122460902,41210202642766232728645,3607142157524561230451,52031629115339916419998
82420405285532465457290,3607142157524561230451,41210202642766232728645,127237750085823259416386
7214284315049122460902,65936324228425972365832,3607142157524561230451,76757750700999656057185
131872648456851944731664,4328570589029473476541,65936324228425972365832,202137543274307390574037
8657141178058946953082,65936324228425972365832,4328570589029473476541,78922035995514392795455
131872648456851944731664,4328570589029473476541,65936324228425972365832,202137543274307390574037
8657141178058946953082,79123589074111166838998,4328570589029473476541,92109300841199587268621
158247178148222333677996,6925712942447157562466,79123589074111166838998,244296480164780658079460
13851425884894315124932,79123589074111166838998,6925712942447157562466,99900727901452639526396
158247178148222333677996,8310855530936589074959,79123589074111166838998,245681622753270089591953
16621711061873178149918,126597742518577866942397,8310855530936589074959,151530309111387634167274
253195485037155733884794,8310855530936589074959,126597742518577866942397,388104083086670189902150
16621711061873178149918,151917291022293440330876,8310855530936589074959,176849857615103207555753
303834582044586880661752,9973026637123906889951,151917291022293440330876,465724899704004227882579
19946053274247813779902,151917291022293440330876,9973026637123906889951,181836370933665161000729
303834582044586880661752,15956842619398251023922,151917291022293440330876,471708715686278572016550
31913685238796502047844,212684207431210816463226,15956842619398251023922,260554735289405569534992
425368414862421632926452,25530948191037201638275,212684207431210816463226,663583570484669651027953
51061896382074403276550,340294731889937306341162,25530948191037201638275,416887576463048911255987
680589463779874612682324,35743327467452082293585,340294731889937306341162,1056627523137264001317071
71486654934904164587170,544471571023899690145859,35743327467452082293585,651701553426255937026614
1088943142047799380291718,50040658454432915211019,544471571023899690145859,1683455371526131985648596
100081316908865830422038,653365885228679628175031,50040658454432915211019,803487860591978373808088
1306731770457359256350062,50040658454432915211019,653365885228679628175031,2010138314140471799736112
100081316908865830422038,784039062274415553810037,50040658454432915211019,934161037637714299443094
1568078124548831107620074,50040658454432915211019,784039062274415553810037,2402157845277679576641130
100081316908865830422038,940846874729298664572044,50040658454432915211019,1090968850092597410205101
1881693749458597329144088,60048790145319498253223,940846874729298664572044,2882589414333215491969355
120097580290638996506446,1505354999566877863315270,60048790145319498253223,1685501370002836358074939
3010709999133755726630540,60048790145319498253223,1505354999566877863315270,4576113788845953088199033
120097580290638996506446,2408567999307004581304432,60048790145319498253223,2588714369742963076064101
4817135998614009162608864,72058548174383397903868,2408567999307004581304432,7297762546095397141817164
144117096348766795807736,2890281599168405497565318,72058548174383397903868,3106457243691555691276922
5780563198336810995130636,86470257809260077484642,2890281599168405497565318,8757315055314476570180596
172940515618520154969284,2890281599168405497565318,86470257809260077484642,3149692372596185730019244
5780563198336810995130636,86470257809260077484642,2890281599168405497565318,8757315055314476570180596
172940515618520154969284,4046394238835767696591445,86470257809260077484642,4305805012263547929045371
8092788477671535393182890,103764309371112092981570,4046394238835767696591445,12242947025878415182755905
207528618742224185963140,4855673086602921235909734,103764309371112092981570,5166966014716257514854444
9711346173205842471819468,103764309371112092981570,4855673086602921235909734,14670783569179875800710772
207528618742224185963140,4855673086602921235909734,103764309371112092981570,5166966014716257514854444
9711346173205842471819468,103764309371112092981570,4855673086602921235909734,14670783569179875800710772
207528618742224185963140,6797942321244089730273628,103764309371112092981570,7109235249357426009218338
13595884642488179460547256,124517171245334511577884,6797942321244089730273628,20518344134977603702398768
249034342490669023155768,8157530785492907676328354,124517171245334511577884,8531082299228911211062006
16315061570985815352656708,174324039743468316209038,8157530785492907676328354,24646916396222191345194100
348648079486936632418076,8157530785492907676328354,174324039743468316209038,8680502904723312624955468
16315061570985815352656708,244053655640855642692653,8157530785492907676328354,24716646012119578671677715
488107311281711285385306,13052049256788652282125366,244053655640855642692653,13784210223711219210203325
26104098513577304564250732,292864386769026771231184,13052049256788652282125366,39449012157134983617607282
585728773538053542462368,13052049256788652282125366,292864386769026771231184,13930642417095732595818918
26104098513577304564250732,351437264122832125477421,13052049256788652282125366,39507585034488788971853519
702874528245664250954842,15662459108146382738550439,351437264122832125477421,16716770900514879114982702
31324918216292765477100878,351437264122832125477421,15662459108146382738550439,47338814588561980341128738
702874528245664250954842,18794950929775659286260527,351437264122832125477421,19849262722144155662692790
37589901859551318572521054,562299622596531400763874,18794950929775659286260527,56947152411923509259545455
1124599245193062801527748,22553941115730791143512632,562299622596531400763874,24240839983520385345804254
45107882231461582287025264,674759547115837680916649,22553941115730791143512632,68336582894308211111454545
1349519094231675361833298,22553941115730791143512632,674759547115837680916649,24578219757078304186262579
45107882231461582287025264,809711456539005217099979,22553941115730791143512632,68471534803731378647637875
1619422913078010434199958,22553941115730791143512632,809711456539005217099979,24983075485347806794812569
45107882231461582287025264,1133596039154607303939971,22553941115730791143512632,68795419386346980734477867
2267192078309214607879942,36086305785169265829620211,1133596039154607303939971,39487093902633087741440124
72172611570338531659240422,1587034454816450225515959,36086305785169265829620211,109845951810324247714376592
3174068909632900451031918,43303566942203118995544253,1587034454816450225515959,48064670306652469672092130
86607133884406237991088506,1587034454816450225515959,43303566942203118995544253,131497735281425807212148718
3174068909632900451031918,43303566942203118995544253,1587034454816450225515959,48064670306652469672092130
86607133884406237991088506,1587034454816450225515959,43303566942203118995544253,131497735281425807212148718
3174068909632900451031918,60624993719084366593761954,1587034454816450225515959,65386097083533717270309831
121249987438168733187523908,1587034454816450225515959,60624993719084366593761954,183462015612069550006801821
3174068909632900451031918,84874991206718113231266736,1587034454816450225515959,89636094571167463907814613
169749982413436226462533472,1587034454816450225515959,84874991206718113231266736,256212008074970789919316167
3174068909632900451031918,135799985930748981170026778,1587034454816450225515959,140561089295198331846574655
271599971861497962340053556,2221848236743030315722343,135799985930748981170026778,409621806028989973825802677
4443696473486060631444686,190119980303048573638037489,2221848236743030315722343,196785525013277664585204518
