Juviniles, Adults, Seniles, Total
25,15,13,53
30,5,15,49
10,30,5,45
59,10,30,99
20,59,10,90
118,20,59,198
41,24,20,85
47,8,24,79
16,9,8,34
19,16,9,45
33,19,16,68
38,33,19,89
65,38,33,136
76,13,38,127
26,15,13,54
30,5,15,51
10,6,5,22
12,10,6,29
21,12,10,43
24,21,12,57
42,24,21,87
48,42,24,114
83,58,42,183
116,17,58,191
33,23,17,73
47,40,23,110
80,56,40,176
112,96,56,264
192,22,96,310
45,38,22,105
77,9,38,124
18,15,9,42
31,18,15,64
36,31,18,84
61,36,31,128
71,12,36,119
25,14,12,51
29,5,14,48
10,29,5,43
57,10,29,96
20,57,10,87
114,20,57,191
39,137,20,196
274,8,137,420
16,329,8,353
659,3,329,991
6,132,3,141
263,1,132,396
3,53,1,56
105,3,53,161
6,126,3,136
253,1,126,381
2,51,1,54
101,3,51,155
6,121,3,130
243,1,121,365
2,291,1,295
583,0,291,875
1,117,0,118
233,0,117,350
0,47,0,47
93,0,47,140
1,19,0,20
37,1,19,57
1,37,1,40
75,1,37,113
3,15,1,19
30,3,15,48
6,30,3,39
60,6,30,95
12,60,6,77
119,12,60,191
24,143,12,179
286,5,143,434
10,57,5,72
115,2,57,174
4,137,2,143
275,1,137,413
2,330,1,332
660,2,330,992
4,792,2,797
1584,1,792,2377
1,317,1,319
634,2,317,952
4,760,2,766
1521,1,760,2281
1,304,1,306
608,2,304,914
3,122,2,127
243,1,122,366
1,292,1,294
584,0,292,876
1,117,0,118
234,1,117,351
1,47,1,49
93,1,47,141
3,19,1,23
37,3,19,59
5,37,3,45
75,5,37,117
10,15,5,30
30,10,15,55
21,30,10,61
60,21,30,110
41,12,21,74
24,50,12,85
99,29,50,177
57,119,29,205
238,11,119,369
23,286,11,320
571,5,286,862
9,686,5,699
1371,2,686,2058
4,274,2,280
548,1,274,823
1,110,1,112
219,0,110,329
1,263,0,264
527,1,263,790
1,105,1,107
211,0,105,316
1,42,0,43
84,1,42,127
1,17,1,19
34,1,17,52
2,34,1,37
67,2,34,103
5,13,2,20
27,5,13,45
9,27,5,40
54,9,27,90
18,54,9,81
108,18,54,180
36,22,18,76
43,7,22,72
14,9,7,30
17,14,9,40
29,17,14,61
35,29,17,81
58,35,29,121
69,12,35,115
23,14,12,48
28,23,14,65
46,28,23,97
55,46,28,129
92,11,46,150
22,18,11,52
37,4,18,60
9,7,4,21
15,9,7,31
18,15,9,41
30,18,15,62
35,30,18,83
59,35,30,124
71,12,35,118
24,85,12,120
170,5,85,259
9,34,5,48
68,9,34,111
19,81,9,110
163,4,81,248
8,33,4,44
65,8,33,105
15,78,8,101
156,3,78,237
6,31,3,40
63,6,31,100
12,13,6,31
25,12,13,50
24,25,12,61
50,24,25,99
48,50,24,123
100,58,50,208
116,120,58,295
240,23,120,383
47,288,23,358
576,9,288,874
19,115,9,143
230,4,115,349
7,46,4,57
92,1,46,140
3,111,1,115
221,1,111,332
1,266,1,267
531,0,266,797
0,106,0,107
212,0,106,319
0,42,0,43
85,0,42,128
0,17,0,18
34,0,17,51
1,34,0,35
68,1,34,103
2,82,1,84
163,0,82,245
1,33,0,34
65,1,33,98
1,65,1,67
131,1,65,197
